index,listing_id,date
0,3421927,2015-08-11
1,3421927,2015-08-30
2,3421927,2015-09-13
3,851813,2013-01-15
4,851813,2013-01-21
5,851813,2013-01-22
6,851813,2013-02-14
7,851813,2013-02-18
8,851813,2013-07-30
9,851813,2013-09-28
10,851813,2013-11-01
11,851813,2014-03-09
12,851813,2014-03-22
13,851813,2014-04-28
14,851813,2014-07-20
15,851813,2014-08-13
16,851813,2014-08-26
17,851813,2014-09-13
18,851813,2014-09-21
19,851813,2014-10-06
20,851813,2014-10-14
21,851813,2014-10-23
22,851813,2014-11-22
23,851813,2015-01-01
24,851813,2015-02-01
25,851813,2015-03-22
26,851813,2015-04-08
27,851813,2015-04-13
28,851813,2015-05-04
29,851813,2015-05-16
30,851813,2015-07-24
31,851813,2015-09-17
32,5039240,2015-03-12
33,5039240,2015-03-14
34,5039240,2015-03-15
35,5039240,2015-03-16
36,5039240,2015-03-19
37,5039240,2015-03-20
38,5039240,2015-03-30
39,5039240,2015-04-02
40,5039240,2015-04-05
41,5039240,2015-04-07
42,5039240,2015-04-20
43,5039240,2015-04-22
44,5039240,2015-04-24
45,5039240,2015-04-27
46,5039240,2015-05-06
47,5039240,2015-05-09
48,5039240,2015-05-11
49,5039240,2015-05-14
50,5039240,2015-05-18
51,5039240,2015-05-27
52,5039240,2015-05-28
53,5039240,2015-05-30
54,5039240,2015-06-02
55,5039240,2015-06-03
56,5039240,2015-06-07
57,5039240,2015-06-13
58,5039240,2015-06-18
59,5039240,2015-06-21
60,5039240,2015-06-24
61,5039240,2015-06-25
62,5039240,2015-06-29
63,5039240,2015-07-05
64,5039240,2015-07-13
65,5039240,2015-07-14
66,5039240,2015-07-16
67,5039240,2015-07-18
68,5039240,2015-07-23
69,5039240,2015-08-14
70,5039240,2015-08-19
71,5039240,2015-08-20
72,5039240,2015-08-23
73,5039240,2015-08-25
74,5039240,2015-08-28
75,5039240,2015-08-30
76,5039240,2015-08-31
77,5039240,2015-09-03
78,5039240,2015-09-07
79,5039240,2015-09-10
80,5039240,2015-09-15
81,5039240,2015-09-23
82,4315895,2014-10-22
83,4315895,2014-10-27
84,4315895,2014-10-31
85,4315895,2014-11-04
86,4315895,2015-07-21
87,6106974,2015-06-19
88,6106974,2015-09-21
89,6106974,2015-09-28
90,7161475,2015-08-21
91,7161475,2015-08-31
92,7161475,2015-09-21
93,307287,2012-06-09
94,307287,2012-06-20
95,307287,2012-09-18
96,307287,2013-03-29
97,307287,2013-06-15
98,307287,2013-06-22
99,307287,2013-07-01
100,307287,2013-08-19
101,307287,2014-02-09
